"block","proj_id","nocturnal_hours","block_effort","diurnal_hours"
"38076H5NE","EBIRD_ATL_MD_DC",14.05,84.331,70.281
"39077D3CW","EBIRD_ATL_MD_DC",0,83.298,83.298
"38076F6SE","EBIRD_ATL_MD_DC",0.883,81.393,80.51
"39076F6CE","EBIRD_ATL_MD_DC",2.317,81.133,78.816
"39076F6CW","EBIRD_ATL_MD_DC",1.352,81.073,79.721
"39076A5NW","EBIRD_ATL_MD_DC",0,80.833,80.833
"38076C4CW","EBIRD_ATL_MD_DC",1.583,80.586,79.003
"39076B6SE","EBIRD_ATL_MD_DC",0,79.572,79.572
"38076D5SE","EBIRD_ATL_MD_DC",0.5,79.168,78.668
"38076C4CE","EBIRD_ATL_MD_DC",2.183,78.316,76.133
"39077A1CW","EBIRD_ATL_MD_DC",0,77.504,77.504
"39076B5CW","EBIRD_ATL_MD_DC",0,76.684,76.684
"39077C4CW","EBIRD_ATL_MD_DC",0.617,76.631,76.014
"39075B7NE","EBIRD_ATL_MD_DC",0,76.466,76.466
"39076E2CE","EBIRD_ATL_MD_DC",0,76.43,76.43
"39075F7NW","EBIRD_ATL_MD_DC",0,76.078,76.078
"39076A5CE","EBIRD_ATL_MD_DC",0.167,75.697,75.53
"39076C4CW","EBIRD_ATL_MD_DC",0.869,75.509,74.64
"39077F1SE","EBIRD_ATL_MD_DC",0,75.3,75.3
"39079E4SW","EBIRD_ATL_MD_DC",3.717,75.104,71.387
"39076B5CE","EBIRD_ATL_MD_DC",0,74.815,74.815
"39076D5CW","EBIRD_ATL_MD_DC",0.084,74.687,74.603
"39078E6NE","EBIRD_ATL_MD_DC",4,74.616,70.616
"38075C4SW","EBIRD_ATL_MD_DC",4.565,74.405,69.84
"o39077B4NW","EBIRD_ATL_MD_DC",0.683,74.351,73.668
"39077C2SE","EBIRD_ATL_MD_DC",0,73.801,73.801
"39077E5SW","EBIRD_ATL_MD_DC",0,73.703,73.703
"39077B2SE","EBIRD_ATL_MD_DC",0,73.248,73.248
"39077C4SE","EBIRD_ATL_MD_DC",2.017,72.01,69.993
"39076F8SW","EBIRD_ATL_MD_DC",0,71.614,71.614
"39076A6CW","EBIRD_ATL_MD_DC",0.1,71.341,71.241
"38076D4CW","EBIRD_ATL_MD_DC",0.167,71.182,71.015
"39077E1CE","EBIRD_ATL_MD_DC",0.5,70.598,70.098
"39076D1CE","EBIRD_ATL_MD_DC",0,70.39,70.39
"39076A2SW","EBIRD_ATL_MD_DC",0.883,70.215,69.332
"38076C6SE","EBIRD_ATL_MD_DC",2.033,69.668,67.635
"39079B4CW","EBIRD_ATL_MD_DC",0.25,69.466,69.216
"39075E7CW","EBIRD_ATL_MD_DC",0,67.966,67.966
"38076F1SW","EBIRD_ATL_MD_DC",0,67.953,67.953
"39077E4CW","EBIRD_ATL_MD_DC",5.548,67.67,62.122
"39079F4SE","EBIRD_ATL_MD_DC",0.05,67.647,67.597
"39078E8NW","EBIRD_ATL_MD_DC",0,67.435,67.435
"39076D8SE","EBIRD_ATL_MD_DC",0,67.426,67.426
"o39077C4SW","EBIRD_ATL_MD_DC",0,67.349,67.349
"38076D2CW","EBIRD_ATL_MD_DC",2.45,67.3,64.85
"39077E3CE","EBIRD_ATL_MD_DC",0,67.218,67.218
"38075D1SW","EBIRD_ATL_MD_DC",0.535,67.202,66.667
"38076E2CE","EBIRD_ATL_MD_DC",1.334,67.165,65.831
"39077D4SE","EBIRD_ATL_MD_DC",0.466,67.145,66.679
"39077D5SW","EBIRD_ATL_MD_DC",1.534,66.69,65.156
"38075C6NE","EBIRD_ATL_MD_DC",1.683,66.616,64.933
"39076F6SE","EBIRD_ATL_MD_DC",2.951,66.599,63.648
"38077E2SW","EBIRD_ATL_MD_DC",1.484,66.501,65.017
"38076G3NW","EBIRD_ATL_MD_DC",0.25,66.039,65.789
"39076B1NE","EBIRD_ATL_MD_DC",6.083,65.956,59.873
"38076C4SW","EBIRD_ATL_MD_DC",2.317,65.702,63.385
"38076G4NW","EBIRD_ATL_MD_DC",0.117,65.531,65.414
"38076E2SE","EBIRD_ATL_MD_DC",3.05,65.094,62.044
"39076D5NE","EBIRD_ATL_MD_DC",0.267,64.785,64.518
"39076E1CW","EBIRD_ATL_MD_DC",0,64.741,64.741
"38076D5NW","EBIRD_ATL_MD_DC",4.5,64.389,59.889
"39076E8NW","EBIRD_ATL_MD_DC",1.3,64.064,62.764
"39077D2SE","EBIRD_ATL_MD_DC",0.217,64.064,63.847
"39079D2CE","EBIRD_ATL_MD_DC",0,63.935,63.935
"39076A8CW","EBIRD_ATL_MD_DC",0.666,63.914,63.248
"o39077C6CW","EBIRD_ATL_MD_DC",0,63.705,63.705
"39077B4CE","EBIRD_ATL_MD_DC",0,63.15,63.15
"38076H2SE","EBIRD_ATL_MD_DC",1.284,62.573,61.289
"38076C7CW","EBIRD_ATL_MD_DC",2.816,62.298,59.482
"39079E3NE","EBIRD_ATL_MD_DC",1.467,62.241,60.774
"39076A4SE","EBIRD_ATL_MD_DC",0.034,61.053,61.019
"38076G2CE","EBIRD_ATL_MD_DC",4.551,60.799,56.248
"39076A1NW","EBIRD_ATL_MD_DC",0,60.749,60.749
"39076F7CE","EBIRD_ATL_MD_DC",1.386,59.62,58.234
"39078F6CE","EBIRD_ATL_MD_DC",0,59.516,59.516
"38075B2NW","EBIRD_ATL_MD_DC",1.249,59.361,58.112
"38076F6NE","EBIRD_ATL_MD_DC",0,59.122,59.122
"39077A2CW","EBIRD_ATL_MD_DC",1.383,58.098,56.715
"38077E2CE","EBIRD_ATL_MD_DC",0,57.351,57.351
"39079E3SE","EBIRD_ATL_MD_DC",1.033,56.982,55.949
"39075B7SE","EBIRD_ATL_MD_DC",0.317,56.347,56.03
"38076D8NE","EBIRD_ATL_MD_DC",1.1,55.749,54.649
"38076H5CE","EBIRD_ATL_MD_DC",0,55.498,55.498
